tau_ps,BR
1953.9304046896111,9.10684501989366e-05
2037.4685280397102,5.704369838933326e-05
2124.5782310305676,4.730897803918262e-05
2215.412212581185,6.563806297053471e-05
2310.1297000831582,5.194881205932167e-05
2408.8967285183035,1.4019317204311699e-05
2511.886431509582,2.5753438017925217e-05
2619.279344815627,1.7713606702107317e-05
2731.2637228008466,5.249165834518526e-06
2848.035868435799,4.5618627227662645e-06
2969.8004774064498,5.763978439351775e-06
3096.7709969353546,2.483326711892646e-06
3229.1699999438965,3.6104561667487543e-06
3367.2295752114223,2.7268792940561525e-06
3511.1917342151346,1.965412548751108e-06
3661.3088353640323,1.4844226147450356e-06
3817.844026370508,7.022651688183907e-07
3981.071705534969,4.830286733903083e-07
4151.278002752295,6.701701832220501e-07
4328.7612810830615,5.304017717828118e-07
4513.832659768975,4.6095325372914815e-07
4706.816559609249,2.3945973946108377e-07
4908.0512716538515,3.0256078694746747e-07
5117.889550210738,1.431384162521555e-07
5336.699231206313,1.303539373201411e-07
5564.863876983289,9.845278163204545e-08
5802.783448666185,1.3659669154206388e-07
6050.875007272948,7.43587068435221e-08
6309.57344480193,9.39532837946163e-08
6579.332246575683,5.61611078100929e-08
6860.624286177782,6.771732191036619e-08
7153.942654376493,5.359442783467524e-08
7459.801523487941,4.6577004841268804e-08
7778.737048694303,3.057224376750114e-08
8111.308307896872,3.6863063309338815e-08
8458.098281751329,3.203637295129781e-08
8819.714875603579,2.7841668590104335e-08
9196.791985117065,1.9149923477877183e-08
9589.99060745997,2.102805465124825e-08
10000.0,1.9149923477877183e-08
10427.538888537687,1.6642515175093062e-08
10873.356727196557,1.588191745709685e-08
11338.235012178497,1.3171608879034465e-08
11822.988651687061,1.1446975279194246e-08
12328.467394420659,1.0424582981417594e-08
12855.557319139032,9.493506160879104e-09
13405.182387914729,7.513572841979059e-09
13978.306065792132,6.8424943417585396e-09
14575.93300969297,6.231353551989443e-09
15199.11082952933,7.170186863508673e-09
15848.93192461114,6.529778052965103e-09
16526.53539856688,6.231353551989443e-09
17233.109056135083,5.6747971062131846e-09
17969.891485325956,5.415447020984669e-09
18738.17422860383,4.931763673355229e-09
19539.30404689611,4.286019830241407e-09
20374.68528039706,4.286019830241407e-09
21245.782310305673,3.392142128625689e-09
