tau_ps,BR
187.3817422860383,9.10684501989366e-05
195.39304046896112,6.878152225647701e-05
203.74685280397102,5.704369838933326e-05
212.45782310305674,4.3083553105238965e-05
221.5412212581185,5.977556668786817e-05
231.0129700083158,2.345325687586828e-05
240.88967285183034,3.744237866951253e-05
251.18864315095823,2.9633523667961095e-05
261.9279344815627,2.2381394031118634e-05
273.1263722800847,9.642699783089782e-06
284.8035868435805,7.99713702227149e-06
296.980047740645,1.1095496144877635e-05
309.67709969353547,8.380126304647132e-06
322.9169999943897,7.282868746468048e-06
336.72295752114223,6.040019972711546e-06
351.11917342151344,4.353376064334925e-06
366.13088353640325,2.602255212510219e-06
381.7844026370508,2.0595377262392468e-06
398.1071705534969,1.7080699150414828e-06
415.1278002752295,2.3698334922541058e-06
432.87612810830615,1.8755890885485035e-06
451.3832659768975,1.1211440064156894e-06
470.6816559609249,1.351840669650838e-06
490.8051271653861,7.711399142999686e-07
511.78895502107383,6.701701832220501e-07
533.6699231206312,8.467695591782142e-07
556.4863876983289,7.358972089215089e-07
580.2783448666186,6.395420055298556e-07
605.0875007272948,5.304017717828118e-07
630.957344480193,4.6095325372914815e-07
657.9332246575682,3.0256078694746747e-07
686.0624286177782,2.8873312678394924e-07
715.3942654376493,2.3945973946108377e-07
745.980152348794,2.7553741958276565e-07
777.8737048694303,2.5092765773216645e-07
811.1308307896873,1.8085742497312253e-07
845.8098281751346,1.6470405399272756e-07
881.9714875603578,1.895188315752428e-07
919.6791985117064,1.8085742497312253e-07
958.999060745997,1.303539373201411e-07
1000.0,1.4999342938599676e-07
1042.7538888537688,1.431384162521555e-07
1087.3356727196556,1.303539373201411e-07
1133.8235012178498,1.1871131049074596e-07
1182.2988651687062,1.1328595555432805e-07
1232.8467394420659,1.0810855067477022e-07
1285.5557319139032,9.845278163204545e-08
1340.5182387914729,8.96594224100473e-08
1397.8306065792133,7.791980473306312e-08
1457.5933009692972,8.55617994627659e-08
1519.9110829529332,8.16514464461483e-08
1584.893192461114,6.771732191036619e-08
1652.653539856688,7.43587068435221e-08
1723.3109056135083,6.771732191036619e-08
1796.9891485325957,5.8850708140524673e-08
1873.817422860383,6.166911557999556e-08
1953.9304046896111,5.8850708140524673e-08
2037.4685280397102,5.359442783467524e-08
2124.5782310305676,5.61611078100929e-08
2215.412212581185,5.1145050497205655e-08
2310.1297000831582,5.1145050497205655e-08
2408.8967285183035,5.61611078100929e-08
2511.886431509582,5.359442783467524e-08
2619.279344815627,5.1145050497205655e-08
2731.2637228008466,5.1145050497205655e-08
2848.035868435799,5.1145050497205655e-08
2969.8004774064498,5.1145050497205655e-08
3096.7709969353546,5.1145050497205655e-08
3229.1699999438965,5.1145050497205655e-08
3367.2295752114223,4.6577004841268804e-08
3511.1917342151346,4.6577004841268804e-08
3981.071705534969,5.1145050497205655e-08
4151.278002752295,5.1145050497205655e-08
4328.7612810830615,5.1145050497205655e-08
4513.832659768975,5.359442783467524e-08
4706.816559609249,5.359442783467524e-08
4908.0512716538515,5.1145050497205655e-08
5117.889550210738,4.880761482202634e-08
5336.699231206313,5.359442783467524e-08
5564.863876983289,5.359442783467524e-08
5802.783448666185,5.61611078100929e-08
6050.875007272948,5.359442783467524e-08
6309.57344480193,5.359442783467524e-08
6579.332246575683,5.61611078100929e-08
6860.624286177782,5.61611078100929e-08
7153.942654376493,5.61611078100929e-08
7459.801523487941,5.8850708140524673e-08
7778.737048694303,5.8850708140524673e-08
8111.308307896872,6.166911557999556e-08
8458.098281751329,6.462249880388516e-08
8819.714875603579,6.462249880388516e-08
9196.791985117065,6.166911557999556e-08
9589.99060745997,7.096035856843824e-08
10000.0,6.462249880388516e-08
10427.538888537687,7.43587068435221e-08
10873.356727196557,7.791980473306312e-08
11338.235012178497,7.096035856843824e-08
11822.988651687061,8.16514464461483e-08
12328.467394420659,7.43587068435221e-08
12855.557319139032,8.55617994627659e-08
13405.182387914729,8.96594224100473e-08
13978.306065792132,8.96594224100473e-08
14575.93300969297,8.96594224100473e-08
15199.11082952933,9.39532837946163e-08
15848.93192461114,9.39532837946163e-08
16526.53539856688,9.845278163204545e-08
17233.109056135083,1.031677640163829e-07
17969.891485325956,1.0810855067477022e-07
18738.17422860383,1.0810855067477022e-07
19539.30404689611,1.1328595555432805e-07
20374.68528039706,1.031677640163829e-07
21245.782310305673,1.0810855067477022e-07
22154.12212581185,1.2439649001037973e-07
23101.29700083158,1.303539373201411e-07
24088.967285183036,1.1871131049074596e-07
25118.864315095823,1.2439649001037973e-07
26192.793448156273,1.431384162521555e-07
27312.63722800847,1.303539373201411e-07
28480.35868435799,1.571767345765445e-07
29698.0047740645,1.571767345765445e-07
30967.709969353546,1.6470405399272756e-07
32291.699999438966,1.4999342938599676e-07
33672.29575211422,1.571767345765445e-07
35111.917342151275,1.6470405399272756e-07
36613.08835364033,1.895188315752428e-07
38178.44026370508,2.0810591501364478e-07
39810.71705534969,2.180722735776209e-07
41512.780027522946,1.895188315752428e-07
43287.612810830615,2.2851592901717657e-07
45138.32659768975,2.2851592901717657e-07
47068.165596092396,2.5092765773216645e-07
49080.512716538615,2.5092765773216645e-07
51178.895502107385,2.5092765773216645e-07
53366.99231206302,2.629447837730739e-07
55648.63876983301,2.5092765773216645e-07
58027.83448666185,3.0256078694746747e-07
60508.75007272936,2.7553741958276565e-07
63095.73444801943,3.3223447449312123e-07
65793.32246575682,3.481454489596345e-07
68606.24286177782,3.481454489596345e-07
71539.42654376478,3.1705066480566965e-07
74598.0152348794,3.6481841270754384e-07
77787.37048694304,3.8228985801242833e-07
81113.08307896856,4.005980247941049e-07
84580.98281751346,4.3988672687303706e-07
