$m_S$ [GeV$/c^{2}$],Observed limit
0.025,1.9184e-06
0.02566,1.8174e-06
0.02647,1.7001e-06
0.02728,1.5919e-06
0.02809,1.4904e-06
0.0289,1.3958e-06
0.02972,1.3064e-06
0.03053,1.2241e-06
0.03134,1.1479e-06
0.03216,1.0764e-06
0.03297,1.011e-06
0.03379,9.4947e-07
0.03461,8.9272e-07
0.03542,8.4083e-07
0.03624,7.9244e-07
0.03706,7.4756e-07
0.03788,7.1587e-07
0.0387,6.7631e-07
0.03953,6.3926e-07
0.04035,6.0568e-07
0.04118,5.736e-07
0.042,5.4444e-07
0.04283,5.1367e-07
0.04366,4.8919e-07
0.04449,4.6634e-07
0.04532,4.4507e-07
0.04615,4.2527e-07
0.04699,4.0664e-07
0.04783,3.8916e-07
0.04866,3.7307e-07
0.0495,3.5786e-07
0.05034,5.5994e-07
0.05118,5.4695e-07
0.05203,5.342e-07
0.05287,5.2219e-07
0.05372,5.0943e-07
0.05457,4.9629e-07
0.05542,4.7359e-07
0.05627,4.6076e-07
0.05713,4.4168e-07
0.05798,4.2228e-07
0.05884,4.066e-07
0.0597,3.9494e-07
0.06056,3.875e-07
0.06142,3.8015e-07
0.06229,3.7705e-07
0.06315,3.6561e-07
0.06402,3.4518e-07
0.06489,3.3795e-07
0.06576,3.0662e-07
0.06664,3.0423e-07
0.06751,3.0193e-07
0.06839,2.8949e-07
0.06927,2.7111e-07
0.07015,2.5347e-07
0.07103,2.4568e-07
0.07192,2.3781e-07
0.0728,2.3594e-07
0.07369,2.2804e-07
0.07459,2.1997e-07
0.07548,2.1843e-07
0.07637,2.2102e-07
0.07727,2.1368e-07
0.07817,2.0609e-07
0.07907,2.0486e-07
0.07997,2.1469e-07
0.08088,2.0812e-07
0.08178,2.0147e-07
0.08269,2.012e-07
0.0836,1.9992e-07
0.08452,1.986e-07
0.08543,1.9746e-07
0.08635,1.9624e-07
0.08727,2.0175e-07
0.08819,1.9384e-07
0.08911,1.9264e-07
0.09003,1.9154e-07
0.09096,1.9036e-07
0.09189,1.8315e-07
0.09282,1.8208e-07
0.09375,1.807e-07
0.09468,1.8563e-07
0.09562,1.8458e-07
0.09656,1.7781e-07
0.09749,1.7685e-07
0.09844,1.7598e-07
0.09938,1.7488e-07
0.10032,1.7401e-07
0.10127,1.7328e-07
0.10222,1.6751e-07
0.10317,1.6687e-07
0.10412,1.6644e-07
0.10507,1.6538e-07
0.10603,1.6504e-07
0.10698,1.6447e-07
0.10794,1.6334e-07
0.1089,1.6654e-07
0.10986,1.6596e-07
0.11082,1.6542e-07
0.11179,1.6484e-07
0.11275,1.6429e-07
0.11372,1.6376e-07
0.11469,1.5964e-07
0.11566,1.5538e-07
0.11663,1.5489e-07
0.1176,1.5054e-07
0.11858,1.5653e-07
0.11956,1.5604e-07
0.12053,1.5555e-07
0.12151,1.5508e-07
0.12249,1.5131e-07
0.12347,1.4744e-07
0.12445,1.47e-07
0.12544,1.4666e-07
0.12642,1.4269e-07
0.12741,1.4227e-07
0.1284,1.4175e-07
0.12938,1.413e-07
0.13037,1.4091e-07
0.13136,1.4416e-07
0.13236,1.4415e-07
0.13335,1.4377e-07
0.13434,1.4339e-07
0.13534,1.4921e-07
0.13633,1.5187e-07
0.13733,1.5148e-07
0.13833,1.4195e-07
0.13932,1.452e-07
0.14032,1.4484e-07
0.14132,1.4447e-07
0.14233,1.4411e-07
0.14333,1.4716e-07
0.14433,1.4688e-07
0.14533,1.4333e-07
0.14634,1.4297e-07
0.14734,1.4649e-07
0.14835,1.4615e-07
0.14935,1.4934e-07
0.15036,1.4909e-07
0.15137,1.4541e-07
0.15238,1.488e-07
0.15338,1.4558e-07
0.15439,1.4547e-07
0.1554,1.4921e-07
0.15641,1.4911e-07
0.15743,1.4899e-07
0.15844,1.4884e-07
0.15945,1.4874e-07
0.16046,1.4864e-07
0.16148,1.4855e-07
0.16249,1.4845e-07
0.1635,1.4862e-07
0.16452,1.4852e-07
0.16554,1.4842e-07
0.16655,1.4837e-07
0.16757,1.4808e-07
0.16859,1.5275e-07
0.1696,1.5267e-07
0.17062,1.5258e-07
0.17164,1.5252e-07
0.17266,1.5245e-07
0.17368,1.5718e-07
0.1747,1.5227e-07
0.17572,1.5221e-07
0.17674,1.5203e-07
0.17776,1.5188e-07
0.17879,1.4733e-07
0.17981,1.473e-07
0.18083,1.4731e-07
0.18186,1.4728e-07
0.18288,1.472e-07
0.18391,1.4668e-07
0.18493,1.4688e-07
0.18596,1.4682e-07
0.18699,1.4678e-07
0.18802,1.4668e-07
