$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,2.1459e-07
0.21341,2.1933e-07
0.2141,2.2057e-07
0.2148,2.1497e-07
0.21551,2.0933e-07
0.21621,2.039e-07
0.21691,1.9865e-07
0.21762,1.955e-07
0.21832,1.9202e-07
0.21903,1.8726e-07
0.21974,1.8265e-07
0.22045,1.8024e-07
0.22116,1.7898e-07
0.22187,1.7771e-07
0.22259,1.7641e-07
0.2233,1.7512e-07
0.22402,1.7588e-07
0.22473,1.7577e-07
0.22545,1.7444e-07
0.22617,1.7314e-07
0.22689,1.7184e-07
0.22762,1.7049e-07
0.22834,1.6916e-07
0.22906,1.6787e-07
0.22979,1.6658e-07
0.23052,1.6533e-07
0.23125,1.6402e-07
0.23198,1.6589e-07
0.23271,1.6467e-07
0.23344,1.6337e-07
0.23417,1.6211e-07
0.23491,1.6091e-07
0.23564,1.5968e-07
0.23638,1.5842e-07
0.23712,1.5725e-07
0.23786,1.5602e-07
0.2386,1.5484e-07
0.23934,1.537e-07
0.24008,1.5545e-07
0.24083,1.5426e-07
0.24157,1.5315e-07
0.24232,1.5195e-07
0.24307,1.5089e-07
0.24382,1.4969e-07
0.24457,1.4866e-07
0.24532,1.4749e-07
0.24608,1.4647e-07
0.24683,1.4533e-07
0.24759,1.4696e-07
0.24834,1.4599e-07
0.2491,1.4483e-07
0.24986,1.4388e-07
0.25062,1.4344e-07
0.25138,1.4332e-07
0.25215,1.4308e-07
0.25291,1.4291e-07
0.25368,1.4273e-07
0.25445,1.4249e-07
0.25521,1.4239e-07
0.25598,1.4476e-07
0.25676,1.4445e-07
0.25753,1.4435e-07
0.2583,1.4406e-07
0.25908,1.4386e-07
0.25985,1.4372e-07
0.26063,1.4341e-07
0.26141,1.4328e-07
0.26219,1.4304e-07
0.26297,1.4278e-07
0.26375,1.4507e-07
0.26454,1.4493e-07
0.26532,1.4459e-07
0.26611,1.4436e-07
0.2669,1.4413e-07
0.26768,1.439e-07
0.26847,1.4368e-07
0.26927,1.4344e-07
0.27006,1.4321e-07
0.27085,1.4299e-07
0.27165,1.4528e-07
0.27244,1.4506e-07
0.27324,1.4481e-07
0.27404,1.4456e-07
0.27484,1.4435e-07
0.27564,1.4417e-07
0.27645,1.439e-07
0.27725,1.4367e-07
0.27806,1.4346e-07
0.27886,1.4324e-07
0.27967,1.4564e-07
0.28048,1.4664e-07
0.28129,1.4852e-07
0.2821,1.5016e-07
0.28292,1.496e-07
0.28373,1.4905e-07
0.28455,1.4852e-07
0.28537,1.4819e-07
0.28618,1.4809e-07
0.287,1.5083e-07
0.28782,1.5068e-07
0.28865,1.5068e-07
0.28947,1.5062e-07
0.2903,1.5048e-07
0.29112,1.5028e-07
0.29195,1.5006e-07
0.29278,1.4984e-07
0.29361,1.5251e-07
0.29444,1.523e-07
0.29527,1.5207e-07
0.29611,1.5185e-07
0.29694,1.5162e-07
0.29778,1.514e-07
0.29862,1.5118e-07
0.29946,1.5093e-07
0.3003,1.5081e-07
0.30114,1.5098e-07
0.30198,1.5119e-07
0.30283,1.5141e-07
0.30367,1.5162e-07
0.30452,1.5181e-07
0.30537,1.519e-07
0.30622,1.5209e-07
0.30707,1.5228e-07
0.30792,1.5247e-07
0.30878,1.5278e-07
0.30963,1.5297e-07
0.31049,1.5318e-07
0.31134,1.5337e-07
0.3122,1.5357e-07
0.31306,1.5376e-07
0.31392,1.5396e-07
0.31479,1.5416e-07
0.31565,1.5741e-07
0.31652,1.5762e-07
0.31738,1.5782e-07
0.31825,1.5803e-07
0.31912,1.5824e-07
0.31999,1.5843e-07
0.32086,1.5865e-07
0.32174,1.5886e-07
0.32261,1.6228e-07
0.32349,1.624e-07
0.32437,1.6268e-07
0.32524,1.6299e-07
0.32612,1.6321e-07
0.32701,1.6343e-07
0.32789,1.6366e-07
0.32877,1.6738e-07
0.32966,1.676e-07
0.33054,1.6783e-07
0.33143,1.6806e-07
0.33232,1.6829e-07
0.33321,1.6852e-07
0.3341,1.6877e-07
0.335,1.6897e-07
0.33589,1.6921e-07
0.33679,1.6945e-07
0.33768,1.6968e-07
0.33858,1.6993e-07
0.33948,1.7016e-07
0.34038,1.704e-07
0.34129,1.7064e-07
0.34219,1.673e-07
0.3431,1.6749e-07
0.344,1.6774e-07
0.34491,1.6798e-07
0.34582,1.6806e-07
0.34673,1.6832e-07
0.34764,1.6844e-07
0.34855,1.6899e-07
0.34947,1.6924e-07
0.35038,1.6615e-07
0.3513,1.6654e-07
0.35222,1.6692e-07
0.35314,1.673e-07
0.35406,1.6769e-07
0.35498,1.6808e-07
0.35591,1.6849e-07
0.35683,1.6876e-07
0.35776,1.6906e-07
0.35868,1.6968e-07
0.35961,1.6997e-07
0.36054,1.7052e-07
0.36148,1.7095e-07
0.36241,1.7123e-07
0.36334,1.7161e-07
0.36428,1.7225e-07
0.36522,1.7267e-07
0.36615,1.7309e-07
0.36709,1.7352e-07
0.36803,1.7749e-07
0.36898,1.7794e-07
0.36992,1.7839e-07
0.37087,1.7884e-07
0.37181,1.7924e-07
0.37276,1.7963e-07
0.37371,1.8009e-07
0.37466,1.8058e-07
0.37561,1.811e-07
0.37656,1.8158e-07
0.37752,1.8208e-07
0.37847,1.8256e-07
0.37943,1.8301e-07
0.38039,1.8722e-07
0.38135,1.8771e-07
0.38231,1.882e-07
0.38327,1.8872e-07
0.38424,1.8553e-07
0.3852,1.8604e-07
0.38617,1.8655e-07
0.38713,1.8705e-07
0.3881,1.9154e-07
0.38907,1.9207e-07
0.39005,1.9261e-07
0.39102,1.9314e-07
0.39199,1.9367e-07
0.39297,1.942e-07
0.39395,1.9476e-07
0.39492,1.9531e-07
0.3959,1.9585e-07
0.39688,1.9643e-07
0.39787,1.9699e-07
0.39885,1.9755e-07
0.39984,2.0225e-07
0.40082,2.0356e-07
0.40181,2.0509e-07
0.4028,2.0225e-07
0.40379,2.0401e-07
0.40478,2.0559e-07
0.40577,2.0717e-07
0.40677,2.1315e-07
0.40776,2.1503e-07
0.40876,2.1675e-07
0.40976,2.1848e-07
0.41076,2.2027e-07
0.41176,2.2208e-07
0.41276,2.2392e-07
0.41377,2.3063e-07
0.41477,2.3257e-07
0.41578,2.3456e-07
0.41679,2.3659e-07
0.4178,2.3865e-07
0.41881,2.4558e-07
0.41982,2.5244e-07
0.42083,2.5e-07
0.42185,2.4734e-07
0.42286,2.496e-07
0.42388,2.5193e-07
0.4249,2.5454e-07
0.42592,2.6261e-07
0.42694,2.6513e-07
0.42796,2.6769e-07
0.42898,2.7031e-07
0.43001,2.73e-07
0.43104,2.6984e-07
0.43206,2.7228e-07
0.43309,2.7508e-07
0.43412,2.7794e-07
0.43515,2.8086e-07
0.43619,2.8387e-07
0.43722,2.8692e-07
0.43826,2.8403e-07
0.43929,2.8715e-07
