$m_S$ [GeV$/c^{2}$],Observed limit
0.025,1.9201e-05
0.02566,1.8833e-05
0.02647,1.8324e-05
0.02728,1.7852e-05
0.02809,1.7407e-05
0.0289,1.6977e-05
0.02972,1.6565e-05
0.03053,1.6175e-05
0.03134,1.5861e-05
0.03216,1.5499e-05
0.03297,1.5109e-05
0.03379,1.4785e-05
0.03461,1.4452e-05
0.03542,1.4135e-05
0.03624,1.3833e-05
0.03706,1.3547e-05
0.03788,1.3274e-05
0.0387,1.3017e-05
0.03953,1.2771e-05
0.04035,1.2537e-05
0.04118,1.2315e-05
0.042,1.2106e-05
0.04283,1.1905e-05
0.04366,1.1713e-05
0.04449,1.1534e-05
0.04532,1.1361e-05
0.04615,1.1194e-05
0.04699,1.1035e-05
0.04783,1.0885e-05
0.04866,1.0742e-05
0.0495,1.0603e-05
0.05034,1.4798e-05
0.05118,1.4459e-05
0.05203,1.413e-05
0.05287,1.3818e-05
0.05372,1.3515e-05
0.05457,1.3224e-05
0.05542,1.2943e-05
0.05627,1.2674e-05
0.05713,1.2411e-05
0.05798,1.2161e-05
0.05884,1.1917e-05
0.0597,1.1682e-05
0.06056,1.1456e-05
0.06142,1.1237e-05
0.06229,1.1023e-05
0.06315,1.0819e-05
0.06402,1.0619e-05
0.06489,1.0426e-05
0.06576,1.0239e-05
0.06664,1.0057e-05
0.06751,9.8818e-06
0.06839,9.71e-06
0.06927,9.544e-06
0.07015,9.3838e-06
0.07103,9.25e-06
0.07192,9.1689e-06
0.0728,8.6359e-06
0.07369,8.4042e-06
0.07459,8.1715e-06
0.07548,8.1057e-06
0.07637,8.0407e-06
0.07727,7.8144e-06
0.07817,7.5846e-06
0.07907,7.5275e-06
0.07997,6.93e-06
0.08088,6.8784e-06
0.08178,6.8288e-06
0.08269,6.7798e-06
0.0836,6.7326e-06
0.08452,6.4936e-06
0.08543,6.4504e-06
0.08635,6.4074e-06
0.08727,6.3661e-06
0.08819,6.4633e-06
0.08911,6.4226e-06
0.09003,6.3839e-06
0.09096,6.3459e-06
0.09189,5.956e-06
0.09282,6.0637e-06
0.09375,6.0291e-06
0.09468,5.8346e-06
0.09562,5.6334e-06
0.09656,5.8756e-06
0.09749,5.8447e-06
0.09844,5.5159e-06
0.09938,5.3187e-06
0.10032,5.4655e-06
0.10127,5.4331e-06
0.10222,5.4028e-06
0.10317,5.3712e-06
0.10412,5.1744e-06
0.10507,5.147e-06
0.10603,5.1201e-06
0.10698,4.9398e-06
0.10794,4.9174e-06
0.1089,4.897e-06
0.10986,4.8771e-06
0.11082,4.7046e-06
0.11179,4.6857e-06
0.11275,4.6653e-06
0.11372,4.645e-06
0.11469,4.4781e-06
0.11566,4.4557e-06
0.11663,4.4463e-06
0.1176,4.4287e-06
0.11858,4.4019e-06
0.11956,4.3694e-06
0.12053,4.2753e-06
0.12151,4.1165e-06
0.12249,3.9782e-06
0.12347,3.7059e-06
0.12445,3.5922e-06
0.12544,3.4824e-06
0.12642,3.3803e-06
0.12741,3.2837e-06
0.1284,3.1897e-06
0.12938,3.1225e-06
0.13037,3.04e-06
0.13136,2.9647e-06
0.13236,2.9954e-06
0.13335,2.9302e-06
0.13434,2.8675e-06
0.13534,2.8077e-06
0.13633,2.7509e-06
0.13733,2.6924e-06
0.13833,2.6425e-06
0.13932,2.5922e-06
0.14032,2.5435e-06
0.14132,2.4966e-06
0.14233,2.5361e-06
0.14333,2.4915e-06
0.14433,2.4481e-06
0.14533,2.4053e-06
0.14634,2.3627e-06
0.14734,2.3263e-06
0.14835,2.2882e-06
0.14935,2.3335e-06
0.15036,2.3076e-06
0.15137,2.2202e-06
0.15238,2.214e-06
0.15338,2.2085e-06
0.15439,2.2024e-06
0.1554,2.2272e-06
0.15641,2.2204e-06
0.15743,2.2129e-06
0.15844,2.2054e-06
0.15945,2.196e-06
0.16046,2.123e-06
0.16148,2.124e-06
0.16249,2.1179e-06
0.1635,2.1099e-06
0.16452,2.1017e-06
0.16554,2.0932e-06
0.16655,2.0845e-06
0.16757,2.0754e-06
0.16859,2.066e-06
0.1696,2.0564e-06
0.17062,1.9756e-06
0.17164,1.9659e-06
0.17266,1.956e-06
0.17368,1.9456e-06
0.1747,1.8704e-06
0.17572,1.8601e-06
0.17674,1.8493e-06
0.17776,1.8392e-06
0.17879,1.8289e-06
0.17981,1.7569e-06
0.18083,1.7456e-06
0.18186,1.7338e-06
0.18288,1.7222e-06
0.18391,1.7103e-06
0.18493,1.6988e-06
0.18596,1.6327e-06
0.18699,1.6211e-06
0.18802,1.6094e-06
0.18905,1.5976e-06
0.19008,1.5858e-06
0.19111,1.6144e-06
0.19214,1.558e-06
0.19317,1.5418e-06
0.19421,1.5302e-06
0.19524,1.5185e-06
0.19628,1.5067e-06
0.19732,1.4942e-06
0.19835,1.4438e-06
0.19939,1.428e-06
0.20043,1.4167e-06
0.20148,1.3974e-06
0.20252,1.3843e-06
0.20356,1.3691e-06
0.20461,1.354e-06
0.20566,1.3054e-06
0.20671,1.2874e-06
0.20776,1.2724e-06
0.20881,1.2594e-06
0.20987,1.2721e-06
0.21092,1.2573e-06
0.21198,1.2427e-06
0.212,1.2424e-06
0.21306,1.2016e-06
0.21415,1.2611e-06
0.21523,1.2382e-06
0.21632,1.2137e-06
0.2174,1.2176e-06
0.21849,1.2222e-06
0.21958,1.2262e-06
0.22067,1.2276e-06
0.22176,1.2228e-06
0.22286,1.2179e-06
0.22395,1.2106e-06
0.22505,1.2057e-06
0.22614,1.1716e-06
0.22724,1.1671e-06
0.22834,1.1625e-06
0.22944,1.158e-06
0.23055,1.1535e-06
0.23165,1.1773e-06
0.23276,1.1439e-06
0.23386,1.1395e-06
0.23497,1.1352e-06
0.23608,1.1308e-06
0.23719,1.1265e-06
0.2383,1.1223e-06
0.23941,1.118e-06
0.24053,1.1137e-06
0.24164,1.1096e-06
0.24276,1.1054e-06
0.24388,1.1013e-06
0.245,1.0972e-06
0.24612,1.0932e-06
0.24724,1.0891e-06
0.24837,1.057e-06
0.24949,1.0531e-06
0.25062,1.0494e-06
0.25174,1.0458e-06
0.25287,1.0671e-06
0.254,1.0635e-06
0.25514,1.0599e-06
0.25627,1.0563e-06
0.2574,1.0528e-06
0.25854,1.0492e-06
0.25967,1.0411e-06
0.26081,1.0586e-06
0.26195,1.0547e-06
0.26309,1.0512e-06
0.26423,1.0482e-06
0.26538,1.045e-06
0.26652,9.9988e-07
0.26767,9.9657e-07
0.26881,9.9333e-07
0.26996,9.9006e-07
0.27111,9.859e-07
0.27226,9.8271e-07
0.27342,9.7952e-07
0.27457,9.7636e-07
0.27573,9.7322e-07
0.27688,9.7003e-07
0.27804,9.671e-07
0.2792,9.6417e-07
0.28036,9.9101e-07
0.28152,1.0026e-06
0.28268,9.8303e-07
0.28385,9.423e-07
0.28501,9.0537e-07
0.28618,9.1621e-07
0.28735,9.2739e-07
0.28852,9.6446e-07
0.28969,9.7649e-07
0.29086,9.767e-07
0.29203,9.6994e-07
0.29321,9.6582e-07
0.29438,9.6176e-07
0.29556,9.5768e-07
0.29674,9.5365e-07
0.29792,9.4966e-07
0.2991,9.4568e-07
0.30028,9.4278e-07
0.30147,9.4278e-07
0.30265,9.4143e-07
0.30384,9.4009e-07
0.30503,9.3873e-07
0.30622,9.3725e-07
0.30741,9.1105e-07
0.3086,9.0985e-07
0.30979,9.0864e-07
0.31099,9.0584e-07
0.31218,9.0606e-07
0.31338,9.0492e-07
0.31458,9.0364e-07
0.31578,9.0234e-07
0.31698,9.0109e-07
0.31818,8.977e-07
0.31938,8.9646e-07
0.32059,8.9519e-07
0.32179,8.9393e-07
0.323,9.1268e-07
0.32421,9.1136e-07
0.32542,9.0954e-07
0.32663,9.2718e-07
0.32784,9.2577e-07
0.32906,9.2475e-07
0.33027,9.0413e-07
0.33149,8.8065e-07
0.33271,8.8288e-07
0.33393,8.8169e-07
0.33515,8.806e-07
0.33637,9.0086e-07
0.33759,8.9974e-07
0.33882,8.9852e-07
0.34004,8.9731e-07
0.34127,8.9618e-07
0.3425,8.9724e-07
0.34373,8.9614e-07
0.34496,9.1735e-07
0.34619,9.161e-07
0.34742,9.1486e-07
0.34866,9.1361e-07
0.34989,9.1508e-07
0.35113,9.22e-07
0.35237,9.2992e-07
0.35361,9.3634e-07
0.35485,9.4478e-07
0.35609,9.5307e-07
0.35734,9.6165e-07
0.35858,9.701e-07
0.35983,9.8013e-07
0.36108,1.0171e-06
0.36232,1.0265e-06
0.36358,1.0361e-06
0.36483,1.0459e-06
0.36608,1.0559e-06
0.36733,1.0661e-06
0.36859,1.1089e-06
0.36985,1.1198e-06
0.3711,1.1309e-06
0.37236,1.1424e-06
0.37363,1.1533e-06
0.37489,1.164e-06
0.37615,1.1772e-06
0.37742,1.189e-06
0.37868,1.2028e-06
0.37995,1.1802e-06
0.38122,1.1934e-06
0.38249,1.2065e-06
0.38376,1.2511e-06
0.38503,1.2661e-06
0.3863,1.281e-06
0.38758,1.2958e-06
0.38886,1.3102e-06
0.39013,1.3257e-06
0.39141,1.3413e-06
0.39269,1.3563e-06
0.39397,1.3378e-06
0.39526,1.3904e-06
0.39654,1.4133e-06
0.39783,1.4312e-06
0.39911,1.45e-06
0.4004,1.4482e-06
0.40169,1.4022e-06
0.40298,1.3958e-06
0.40427,1.354e-06
0.40557,1.3143e-06
0.40686,1.2415e-06
0.40816,1.2073e-06
0.40945,1.2115e-06
0.41075,1.1799e-06
0.41205,1.1499e-06
0.41335,1.1214e-06
0.41465,1.0942e-06
0.41596,1.1023e-06
0.41726,1.0769e-06
0.41857,1.0523e-06
0.41988,1.0289e-06
0.42118,1.0068e-06
0.42249,9.8515e-07
0.4238,9.6438e-07
0.42512,9.4393e-07
0.42643,9.2495e-07
0.42775,9.0342e-07
0.42906,8.8611e-07
0.43038,8.692e-07
0.4317,8.5582e-07
0.43302,8.4015e-07
0.43434,8.2505e-07
0.43566,8.1045e-07
0.43699,8.2216e-07
0.43831,7.8229e-07
0.43964,7.683e-07
0.44097,7.6578e-07
0.4423,7.6615e-07
0.44363,7.6632e-07
0.44496,7.6261e-07
0.44629,7.5387e-07
0.44763,7.4227e-07
0.44896,7.6491e-07
0.4503,7.5729e-07
0.45164,7.4565e-07
0.45298,7.356e-07
0.45432,7.6337e-07
0.45566,7.6197e-07
0.457,7.5194e-07
0.45835,7.5602e-07
0.45969,7.6037e-07
0.46104,7.5489e-07
0.46239,7.4851e-07
0.46374,7.5073e-07
0.46509,7.7772e-07
0.46644,7.7522e-07
0.4678,7.7058e-07
0.46915,7.6677e-07
0.47051,7.6313e-07
0.47186,7.5939e-07
0.47322,7.7831e-07
0.47458,7.7459e-07
0.47594,7.6997e-07
0.47731,7.6667e-07
0.47867,7.8436e-07
0.48003,7.8058e-07
0.4814,7.7719e-07
0.48277,7.7376e-07
0.48414,7.4869e-07
0.48551,7.5841e-07
0.48688,7.9278e-07
0.48825,7.7234e-07
0.48963,7.5787e-07
0.491,7.5594e-07
0.49238,7.5395e-07
0.49376,7.5194e-07
0.49513,7.4989e-07
0.49651,7.4782e-07
0.4979,7.2362e-07
0.49928,7.2206e-07
0.50066,7.2105e-07
0.50205,7.3693e-07
0.50344,7.3673e-07
0.50482,7.1692e-07
0.50621,7.1671e-07
0.5076,7.227e-07
0.50899,7.2996e-07
0.51039,7.1897e-07
0.51178,7.1235e-07
0.51318,7.1265e-07
0.51457,7.3153e-07
0.51597,7.3018e-07
0.51737,7.2933e-07
0.51877,7.2754e-07
0.52017,7.4659e-07
0.52158,7.4405e-07
0.52298,7.4366e-07
0.52439,7.4236e-07
0.5258,7.4088e-07
0.5272,7.3936e-07
0.52861,7.1792e-07
0.53002,7.1649e-07
0.53144,7.1496e-07
0.53285,6.928e-07
0.53426,6.9148e-07
0.53568,6.9009e-07
0.5371,6.8782e-07
0.53852,6.8738e-07
0.53993,6.8586e-07
0.54136,6.6173e-07
0.54278,6.6029e-07
0.5442,6.5849e-07
0.54563,6.5723e-07
0.54705,6.5693e-07
0.54848,6.5561e-07
0.54991,6.5426e-07
0.55134,6.5296e-07
0.55277,6.7399e-07
0.5542,6.7254e-07
0.55563,6.7116e-07
0.55707,6.6977e-07
0.55851,6.6877e-07
0.55994,6.6744e-07
0.56138,6.6609e-07
0.56282,6.6459e-07
0.56426,6.6262e-07
0.5657,6.6098e-07
0.56715,6.5996e-07
0.56859,6.5945e-07
0.57004,6.7771e-07
0.57149,6.9493e-07
0.57293,6.9303e-07
0.57438,6.7309e-07
0.57584,6.7159e-07
0.57729,6.697e-07
0.57874,6.6919e-07
0.5802,6.6876e-07
0.58165,6.8628e-07
0.58311,6.664e-07
0.58457,6.4562e-07
0.58603,6.6354e-07
0.58749,6.6233e-07
0.58895,6.6113e-07
0.59042,6.5993e-07
0.59188,6.3913e-07
0.59335,6.3801e-07
0.59481,6.3696e-07
0.59628,6.5456e-07
0.59775,6.5346e-07
0.59922,6.2981e-07
0.6007,6.3065e-07
0.60217,6.2994e-07
0.60365,6.2891e-07
0.60512,6.28e-07
0.6066,6.2702e-07
0.60808,6.2603e-07
0.60956,6.2504e-07
0.61104,6.2332e-07
0.61252,6.2279e-07
0.61401,6.2159e-07
0.61549,6.1999e-07
0.61698,6.1862e-07
0.61846,6.182e-07
0.61995,6.1702e-07
0.62144,6.1544e-07
0.62293,6.1461e-07
0.62443,6.1318e-07
0.62592,6.1143e-07
0.62742,6.0899e-07
0.62891,6.0767e-07
0.63041,6.0596e-07
0.63191,6.0483e-07
0.63341,6.0588e-07
0.63491,6.0485e-07
0.63641,6.0434e-07
0.63792,6.0324e-07
0.63942,5.9937e-07
0.64093,6.1392e-07
0.64243,6.1312e-07
0.64394,6.1173e-07
0.64545,5.9485e-07
0.64696,5.965e-07
0.64848,5.9532e-07
0.64999,5.9388e-07
0.6515,5.9298e-07
0.65302,6.1004e-07
0.65454,6.0899e-07
0.65606,6.0792e-07
0.65758,6.0641e-07
0.6591,6.0558e-07
0.66062,6.0477e-07
0.66214,6.0369e-07
0.66367,6.0257e-07
0.66519,6.0144e-07
0.66672,6.0031e-07
0.66825,6.1596e-07
0.66978,6.1483e-07
0.67131,6.2962e-07
0.67284,6.4368e-07
0.67438,6.4259e-07
0.67591,6.4142e-07
0.67745,6.403e-07
0.67899,6.3916e-07
0.68052,6.2284e-07
0.68206,6.3676e-07
0.68361,6.3566e-07
0.68515,6.3454e-07
0.68669,6.1834e-07
0.68824,6.3217e-07
0.68978,6.31e-07
0.69133,6.4431e-07
0.69288,6.5712e-07
0.69443,6.5596e-07
0.69598,6.5483e-07
0.69753,6.5366e-07
0.69908,6.3861e-07
0.70064,6.2291e-07
0.70219,6.2188e-07
0.70375,6.2089e-07
0.70531,6.1991e-07
0.70687,6.1881e-07
0.70843,6.3148e-07
0.70999,6.3031e-07
0.71156,6.2924e-07
0.71312,6.2759e-07
0.71469,6.2639e-07
0.71625,6.1125e-07
0.71782,6.1046e-07
0.71939,6.0945e-07
0.72096,6.086e-07
0.72253,6.0767e-07
0.72411,6.0671e-07
0.72568,6.0577e-07
0.72726,6.0487e-07
0.72883,5.871e-07
0.73041,5.8612e-07
0.73199,5.8642e-07
0.73357,5.8555e-07
0.73516,5.8512e-07
0.73674,5.8387e-07
0.73832,5.8275e-07
0.73991,5.8201e-07
0.7415,5.8082e-07
0.74308,5.798e-07
0.74467,5.787e-07
0.74626,5.7713e-07
0.74786,5.7574e-07
0.74945,5.7447e-07
0.75104,5.7343e-07
0.75264,5.7201e-07
0.75424,5.7034e-07
0.75583,5.6946e-07
0.75743,5.686e-07
0.75903,5.6781e-07
0.76063,5.6699e-07
0.76224,5.6606e-07
0.76384,5.6522e-07
0.76545,5.6429e-07
0.76705,5.6332e-07
0.76866,5.6425e-07
0.77027,5.632e-07
0.77188,5.6217e-07
0.77349,5.6115e-07
0.77511,5.6e-07
0.77672,5.7308e-07
0.77834,5.7206e-07
0.77995,5.7113e-07
0.78157,5.6997e-07
0.78319,5.6968e-07
0.78481,5.5528e-07
0.78643,5.5435e-07
0.78805,5.5333e-07
0.78968,5.3854e-07
0.7913,5.3763e-07
0.79293,5.5073e-07
0.79456,5.4981e-07
0.79619,5.4886e-07
0.79782,5.4794e-07
0.79945,5.4694e-07
0.80108,5.4626e-07
0.80272,5.5921e-07
0.80435,5.5878e-07
0.80599,5.5831e-07
0.80763,5.4463e-07
0.80926,5.4416e-07
0.8109,5.3003e-07
0.81255,5.1532e-07
0.81419,5.149e-07
0.81583,5.1444e-07
0.81748,5.2836e-07
0.81912,5.2786e-07
0.82077,5.2742e-07
0.82242,5.128e-07
0.82407,5.124e-07
0.82572,5.1192e-07
0.82737,5.2575e-07
0.82903,5.253e-07
0.83068,5.1073e-07
0.83234,5.1029e-07
0.834,4.9507e-07
0.83566,5.3092e-07
0.83732,5.1808e-07
0.83898,4.9262e-07
0.84064,4.9313e-07
0.8423,5.0655e-07
0.84397,5.0595e-07
0.84564,5.0642e-07
0.8473,5.0597e-07
0.84897,5.0552e-07
0.85064,5.0518e-07
0.85231,4.9017e-07
0.85399,4.8983e-07
0.85566,5.0296e-07
0.85733,5.0264e-07
0.85901,4.8694e-07
0.86069,4.8661e-07
0.86237,4.8627e-07
0.86405,5.14e-07
0.86573,5.1354e-07
0.86741,5.1306e-07
0.86909,5.1255e-07
0.87078,5.1188e-07
0.87247,5.1111e-07
0.87415,5.111e-07
0.87584,5.1125e-07
0.87753,5.1171e-07
0.87922,5.2404e-07
0.88092,5.2401e-07
0.88261,5.2384e-07
0.8843,5.2361e-07
0.886,5.2341e-07
0.8877,5.2312e-07
0.8894,5.351e-07
0.8911,5.3525e-07
0.8928,5.3461e-07
0.8945,5.3428e-07
