$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,1.4485e-07
0.21341,1.4666e-07
0.2141,1.4764e-07
0.2148,1.4636e-07
0.21551,1.4482e-07
0.21621,1.4331e-07
0.21691,1.4277e-07
0.21762,1.4223e-07
0.21832,1.4065e-07
0.21903,1.3905e-07
0.21974,1.3722e-07
0.22045,1.3583e-07
0.22116,1.3458e-07
0.22187,1.3334e-07
0.22259,1.3209e-07
0.2233,1.3082e-07
0.22402,1.2954e-07
0.22473,1.2837e-07
0.22545,1.2722e-07
0.22617,1.2725e-07
0.22689,1.2718e-07
0.22762,1.2608e-07
0.22834,1.2495e-07
0.22906,1.2332e-07
0.22979,1.2221e-07
0.23052,1.2112e-07
0.23125,1.1992e-07
0.23198,1.189e-07
0.23271,1.1781e-07
0.23344,1.167e-07
0.23417,1.1573e-07
0.23491,1.1458e-07
0.23564,1.1367e-07
0.23638,1.1256e-07
0.23712,1.1291e-07
0.23786,1.1184e-07
0.2386,1.1215e-07
0.23934,1.1058e-07
0.24008,1.0965e-07
0.24083,1.0866e-07
0.24157,1.0778e-07
0.24232,1.0682e-07
0.24307,1.0594e-07
0.24382,1.0504e-07
0.24457,1.0414e-07
0.24532,1.0331e-07
0.24608,1.0238e-07
0.24683,1.0162e-07
0.24759,1.0068e-07
0.24834,9.996e-08
0.2491,1.0033e-07
0.24986,9.9514e-08
0.25062,9.9783e-08
0.25138,9.9621e-08
0.25215,9.9552e-08
0.25291,9.935e-08
0.25368,9.9281e-08
0.25445,9.9148e-08
0.25521,9.8963e-08
0.25598,9.8916e-08
0.25676,9.8735e-08
0.25753,9.8604e-08
0.2583,9.8521e-08
0.25908,9.8304e-08
0.25985,9.8208e-08
0.26063,9.8112e-08
0.26141,9.9174e-08
0.26219,9.9502e-08
0.26297,9.9302e-08
0.26375,9.9223e-08
0.26454,9.9072e-08
0.26532,9.8868e-08
0.26611,9.8787e-08
0.2669,9.8642e-08
0.26768,9.8432e-08
0.26847,9.8351e-08
0.26927,9.8215e-08
0.27006,9.7997e-08
0.27085,9.7896e-08
0.27165,9.7784e-08
0.27244,9.7587e-08
0.27324,9.7422e-08
0.27404,9.8912e-08
0.27484,9.8806e-08
0.27564,9.8647e-08
0.27645,9.8455e-08
0.27725,9.831e-08
0.27806,9.8193e-08
0.27886,9.803e-08
0.27967,9.7828e-08
0.28048,9.7308e-08
0.28129,9.647e-08
0.2821,9.5764e-08
0.28292,9.6308e-08
0.28373,9.6909e-08
0.28455,9.7461e-08
0.28537,9.7644e-08
0.28618,9.9095e-08
0.287,9.8933e-08
0.28782,9.8796e-08
0.28865,9.8633e-08
0.28947,9.8447e-08
0.2903,9.839e-08
0.29112,9.8579e-08
0.29195,9.8756e-08
0.29278,9.8892e-08
0.29361,9.9027e-08
0.29444,9.9225e-08
0.29527,9.9409e-08
0.29611,9.9555e-08
0.29694,9.9679e-08
0.29778,1.0146e-07
0.29862,1.0162e-07
0.29946,1.018e-07
0.3003,1.0198e-07
0.30114,1.0218e-07
0.30198,1.024e-07
0.30283,1.0264e-07
0.30367,1.0286e-07
0.30452,1.0306e-07
0.30537,1.033e-07
0.30622,1.0352e-07
0.30707,1.0375e-07
0.30792,1.0398e-07
0.30878,1.0586e-07
0.30963,1.0608e-07
0.31049,1.0633e-07
0.31134,1.0655e-07
0.3122,1.068e-07
0.31306,1.0702e-07
0.31392,1.0727e-07
0.31479,1.0753e-07
0.31565,1.0777e-07
0.31652,1.08e-07
0.31738,1.0826e-07
0.31825,1.085e-07
0.31912,1.1056e-07
0.31999,1.1082e-07
0.32086,1.1108e-07
0.32174,1.1134e-07
0.32261,1.1158e-07
0.32349,1.1184e-07
0.32437,1.1213e-07
0.32524,1.1239e-07
0.32612,1.1264e-07
0.32701,1.1294e-07
0.32789,1.1318e-07
0.32877,1.135e-07
0.32966,1.1574e-07
0.33054,1.16e-07
0.33143,1.1627e-07
0.33232,1.166e-07
0.33321,1.1686e-07
0.3341,1.1713e-07
0.335,1.1742e-07
0.33589,1.1772e-07
0.33679,1.1801e-07
0.33768,1.1829e-07
0.33858,1.1858e-07
0.33948,1.2104e-07
0.34038,1.2136e-07
0.34129,1.2168e-07
0.34219,1.2199e-07
0.3431,1.223e-07
0.344,1.2265e-07
0.34491,1.2298e-07
0.34582,1.2329e-07
0.34673,1.2362e-07
0.34764,1.2395e-07
0.34855,1.2659e-07
0.34947,1.2693e-07
0.35038,1.273e-07
0.3513,1.2773e-07
0.35222,1.2816e-07
0.35314,1.2624e-07
0.35406,1.2667e-07
0.35498,1.271e-07
0.35591,1.2981e-07
0.35683,1.3016e-07
0.35776,1.3053e-07
0.35868,1.3335e-07
0.35961,1.3383e-07
0.36054,1.3432e-07
0.36148,1.348e-07
0.36241,1.3528e-07
0.36334,1.3577e-07
0.36428,1.3626e-07
0.36522,1.3461e-07
0.36615,1.3511e-07
0.36709,1.3559e-07
0.36803,1.386e-07
0.36898,1.3911e-07
0.36992,1.3963e-07
0.37087,1.4015e-07
0.37181,1.4068e-07
0.37276,1.4121e-07
0.37371,1.4175e-07
0.37466,1.4236e-07
0.37561,1.4291e-07
0.37656,1.4346e-07
0.37752,1.4675e-07
0.37847,1.4733e-07
0.37943,1.479e-07
0.38039,1.4836e-07
0.38135,1.4624e-07
0.38231,1.4687e-07
0.38327,1.4746e-07
0.38424,1.4808e-07
0.3852,1.487e-07
0.38617,1.5222e-07
0.38713,1.5284e-07
0.3881,1.5347e-07
0.38907,1.5411e-07
0.39005,1.5476e-07
0.39102,1.5541e-07
0.39199,1.5607e-07
0.39297,1.5674e-07
0.39395,1.5741e-07
0.39492,1.6129e-07
0.3959,1.6199e-07
0.39688,1.6269e-07
